Entry ID;Date;Field observer;Video observer;Configuration;Lek;Min of video/start;Min of video/end;Color code;ID #;Comments;Video file name;Video cut;Track analysis;Comment
80;15-cze-15;KWJ/VNL;KWJ;Exp2;SUR Cacao;00:23:38;00:23:52;R;356;;Pers.Exp.SUR.2015.6.15.10.00;vlc-record-2015-06-16-19h50m56s-Pers.Exp.SUR.2015.6.15.10.00.MOV-;vlc-record-2015-06-16-19h50m56s-Pers.Exp.SUR.2015.6.15.10.00.MOV-;Out of frame 
81;15-cze-15;KWJ/VNL;KWJ;Exp2;SUR Cacao;00:26:26;00:26:39;Y;301;;vlc-record-2015-06-16-19h50m56s-Pers.Exp.SUR.2015.6.15.10.00.MOV-;vlc-record-2015-06-16-19h53m14s-Pers.Exp.SUR.2015.6.15.10.00.MOV-;vlc-record-2015-06-16-19h53m14s-Pers.Exp.SUR.2015.6.15.10.00.MOV-;Out of frame 
82;15-cze-15;KWJ/VNL;KWJ;Exp2;SUR Cacao;00:26:49;00:27:12;RPR;367;;vlc-record-2015-06-16-19h50m56s-Pers.Exp.SUR.2015.6.15.10.00.MOV-;vlc-record-2015-06-16-19h56m11s-Pers.Exp.SUR.2015.6.15.10.00.MOV-;vlc-record-2015-06-16-19h56m11s-Pers.Exp.SUR.2015.6.15.10.00.MOV-;
83;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:15:06;00:15:43;Y;301;bee, could inf n flower, and motions;Pers.Ctrl.SUR.2015.6.22.7.16;;#N/D!;
84;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:22:15;00:23:17;B;357;bee, and flower drop - could inf n flower, and motions;Pers.Ctrl.SUR.2015.6.22.7.16;;#N/D!;
85;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:25:54;00:26:14;B;357;bees, could inf n flower, and motions;Pers.Ctrl.SUR.2015.6.22.7.16;;#N/D!;
86;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:00:47;00:01:17;GPW;241;bees, could inf n flower, and motions;Pers.Ctrl.SUR.2015.6.22.7.42;;#N/D!;
87;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:15:05;00:15:18;R;356;the tongue stuck in the feeder - scared the bird away;Pers.Ctrl.SUR.2015.6.22.7.42;;#N/D!;
88;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:18:32;00:19:00;R;356;bees, could inf n flower, and motions;Pers.Ctrl.SUR.2015.6.22.7.42;;#N/D!;
89;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:24:50;00:25:50;B;357;bees, could inf n flower, and motions;Pers.Ctrl.SUR.2015.6.22.7.42;;#N/D!;
90;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:06:33;00:06:58;P;353;bees, little hermit and flower drop;Pers.Ctrl.SUR.2015.6.22.8.13;;#N/D!;
91;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:10:25;00:11:13;Y;301;bees, could inf n flower, and motions;Pers.Ctrl.SUR.2015.6.22.8.13;;#N/D!;
92;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:15:55;00:16:24;B;357;bees, could inf n flower, and motions;Pers.Ctrl.SUR.2015.6.22.8.13;;#N/D!;
93;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:03:40;00:03:58;GPW;241;chased by GCW;Pers.Ctrl.SUR.2015.6.22.8.44;;#N/D!;
94;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:10:55;00:11:16;Y;301;a continued on the next event #95?;Pers.Ctrl.SUR.2015.6.22.10.7;vlc-record-2015-06-23-23h12m18s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-;#N/D!;
95;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:11:23;00:11:34;Y;301;a continuum of the previous event #94?;Pers.Ctrl.SUR.2015.6.22.10.7;vlc-record-2015-06-23-23h13m49s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-;#N/D!;
96;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:11:36;00:11:55;Y;301;a continuum of the previous event #95?;Pers.Ctrl.SUR.2015.6.22.10.7;vlc-record-2015-06-23-23h17m28s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-;#N/D!;
97;22-cze-15;KWJ;KWJ;Ctrl3;SUR Cacao;00:16:03;00:17:06;GPW;241;;Pers.Ctrl.SUR.2015.6.22.10.7;vlc-record-2015-06-23-23h19m43s-Pers.Ctrl.SUR.2015.6.22.10.7.MOV-;#N/D!;
98;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:00:10;00:00:25;R;356;;Pers.Ctrl.SUR.2015.6.28.12.21;vlc-record-2015-06-28-16h14m16s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-;#N/D!;
99;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:01:34;00:02:05;UNTAG*;-40;a LH around but does not seem to affect the focal bird behaviour;Pers.Ctrl.SUR.2015.6.28.12.21;vlc-record-2015-06-28-16h19m35s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-;#N/D!;
100;27-cze-15;KWJ;KWJ;Ctrl4;SUR Sura;00:04:04;00:04:28;BGW;143;;Pers.Ctrl.SUR.2015.6.28.12.21;vlc-record-2015-06-28-16h25m24s-Pers.Ctrl.SUR.2015.6.28.12.21.MOV-;#N/D!;
